LOAN_ID,GENDER,MARRIED,DEPENDENTS,EDUCATION,SELF_EMPLOYED,APPLICANTINCOME,COAPPLICANTINCOME,LOANAMOUNT,LOAN_AMOUNT_TERM,CREDIT_HISTORY,PROPERTY_AREA,LOAN_STATUS,TOTALINCOME
LP002443,Male,Yes,2,Graduate,No,3340,1710,150.0,360.0,0.0,Rural,0,5050
LP002444,Male,No,1,Not Graduate,Yes,2769,1542,190.0,360.0,1.0,Semiurban,0,4311
LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125.0,360.0,0.0,Rural,0,3564
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,60.0,300.0,1.0,Urban,1,3414
LP002448,Male,Yes,0,Graduate,No,3948,1733,149.0,360.0,0.0,Rural,0,5681
LP002449,Male,Yes,0,Graduate,No,2483,2466,90.0,180.0,0.0,Rural,1,4949
LP002453,Male,No,0,Graduate,Yes,7085,0,84.0,360.0,1.0,Semiurban,1,7085
LP002455,Male,Yes,2,Graduate,No,3859,0,96.0,360.0,1.0,Semiurban,1,3859
LP002459,Male,Yes,0,Graduate,No,4301,0,118.0,360.0,1.0,Urban,1,4301
LP002467,Male,Yes,0,Graduate,No,3708,2569,173.0,360.0,1.0,Urban,0,6277
LP002472,Male,No,2,Graduate,No,4354,0,136.0,360.0,1.0,Rural,1,4354
LP002473,Male,Yes,0,Graduate,No,8334,0,160.0,360.0,1.0,Semiurban,0,8334
LP002478,Male,Yes,0,Graduate,Yes,2083,4083,160.0,360.0,1.0,Semiurban,1,6166
LP002484,Male,Yes,3,Graduate,No,7740,0,128.0,180.0,1.0,Urban,1,7740
LP002487,Male,Yes,0,Graduate,No,3015,2188,153.0,360.0,1.0,Rural,1,5203
LP002489,Female,No,1,Not Graduate,No,5191,0,132.0,360.0,1.0,Semiurban,1,5191
LP002493,Male,No,0,Graduate,No,4166,0,98.0,360.0,0.0,Semiurban,0,4166
LP002494,Male,No,0,Graduate,No,6000,0,140.0,360.0,1.0,Rural,1,6000
LP002500,Male,Yes,3,Not Graduate,No,2947,1664,70.0,180.0,0.0,Urban,0,4611
LP002501,Male,Yes,0,Graduate,No,16692,0,110.0,360.0,1.0,Semiurban,1,16692
LP002502,Female,Yes,2,Not Graduate,No,210,2917,98.0,360.0,1.0,Semiurban,1,3127
LP002505,Male,Yes,0,Graduate,No,4333,2451,110.0,360.0,1.0,Urban,0,6784
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,162.0,360.0,1.0,Semiurban,1,5529
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113.0,180.0,0.0,Rural,0,4153
LP002519,Male,Yes,3,Graduate,No,4691,0,100.0,360.0,1.0,Semiurban,1,4691
LP002522,Female,No,0,Graduate,Yes,2500,0,93.0,360.0,1.0,Urban,1,2500
LP002524,Male,No,2,Graduate,No,5532,4648,162.0,360.0,1.0,Rural,1,10180
LP002527,Male,Yes,2,Graduate,Yes,16525,1014,150.0,360.0,1.0,Rural,1,17539
LP002529,Male,Yes,2,Graduate,No,6700,1750,230.0,300.0,1.0,Semiurban,1,8450
LP002530,Male,Yes,2,Graduate,No,2873,1872,132.0,360.0,0.0,Semiurban,0,4745
LP002531,Male,Yes,1,Graduate,Yes,16667,2250,86.0,360.0,1.0,Semiurban,1,18917
LP002533,Male,Yes,2,Graduate,No,2947,1603,128.0,360.0,1.0,Urban,0,4550
LP002534,Female,No,0,Not Graduate,No,4350,0,154.0,360.0,1.0,Rural,1,4350
LP002536,Male,Yes,3,Not Graduate,No,3095,0,113.0,360.0,1.0,Rural,1,3095
LP002537,Male,Yes,0,Graduate,No,2083,3150,128.0,360.0,1.0,Semiurban,1,5233
LP002541,Male,Yes,0,Graduate,No,10833,0,234.0,360.0,1.0,Semiurban,1,10833
LP002543,Male,Yes,2,Graduate,No,8333,0,246.0,360.0,1.0,Semiurban,1,8333
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131.0,360.0,1.0,Rural,1,4394
